d_name,model_name,split_idx,n_splits,random_state,fit_time,test_size,test_auc,test_aupr,test_mse,test_acc,test_logloss,train_auc,train_aupr,train_mse,train_acc,train_logloss,model_path
ss_adult_b1_r1377_xgb-d1-o20-cols1,xgb-d1-o20-cols1,4,5,1377,257.5365982055664,0.15,0.9077844610001191,0.7897471257449659,0.09845452371257023,0.8593654042988741,0.30914207860345544,0.9236404258716405,0.8206198094067116,0.08998234291428442,0.8703208556149733,0.28404182237740344,models/1108_ss/ss_adult_b1_r1377_xgb-d1-o20-cols1_xgb-d1-o20-cols1_r1377_4_5.pkl
ss_mimiciii_b1_r1377_xgb-d1-o20-cols1,ebm-o50-i50-q,4,5,1377,317.8915581703186,0.15,0.7829980594860745,0.3607864954868422,0.07342644586050509,0.9112844260297344,0.2607820176695791,0.8394560635590989,0.46039598420641625,0.0671159301101069,0.9149924714992471,0.2370527594055196,models/1108_ss/ss_mimiciii_b1_r1377_xgb-d1-o20-cols1_ebm-o50-i50-q_r1377_4_5.pkl
ss_mimicii_b1_r1377_xgb-d1-o20-cols1,ebm-o50-i50-q,2,5,1377,156.0671525001526,0.15,0.8129199577261096,0.4641807403320914,0.08411552643631402,0.8931193908077237,0.2883939425841414,0.8333210365879267,0.5002760004517903,0.08098839450047782,0.8941481445921943,0.2774512845431081,models/1108_ss/ss_mimicii_b1_r1377_xgb-d1-o20-cols1_ebm-o50-i50-q_r1377_2_5.pkl
ss_mimicii_b1_r1377_xgb-d1-o20-cols1,ebm-bf-o50-q,2,5,1377,36.62805771827698,0.15,0.813450467237735,0.46325615083149513,0.08438760597482654,0.8925754691324449,0.28875689253792025,0.8310552205269746,0.49465221351331545,0.08159189965921644,0.8934760693197639,0.27952666049785146,models/1108_ss/ss_mimicii_b1_r1377_xgb-d1-o20-cols1_ebm-bf-o50_r1377_2_5.pkl
ss_mimicii_b1_r1377_xgb-d1-o20-cols1,ilr-q,2,5,1377,11.261454820632935,0.15,0.790589192346201,0.4284872853963173,0.0875225084227462,0.891215664944248,0.3005494173134044,0.8391530928349723,0.5046577889604037,0.08149164628560632,0.8922759349047094,0.2783507423633671,models/1108_ss/ss_mimicii_b1_r1377_xgb-d1-o20-cols1_ilr-q_r1377_2_5.pkl
ss_mimicii_b1_r1377_xgb-d1-o20-cols1,mlr-q,2,5,1377,2.221566915512085,0.15,0.7869632328401378,0.3970898428771474,0.09017019841252358,0.8863203698667392,0.3101957969673781,0.8512591737401095,0.5516471209472402,0.07638913723595359,0.9008688973164994,0.26281429526240885,models/1108_ss/ss_mimicii_b1_r1377_xgb-d1-o20-cols1_mlr-q_r1377_2_5.pkl
ss_mimicii_b1_r1377_xgb-d1-o20-cols1,lr,2,5,1377,0.40642237663269043,0.15,0.7779744687951942,0.39147707769927814,0.09003565550385328,0.887680174054936,0.3076164821314481,0.7860171023481501,0.40374564924229495,0.08879244029283057,0.8864192789592434,0.30492313203494487,models/1108_ss/ss_mimicii_b1_r1377_xgb-d1-o20-cols1_lr_r1377_2_5.pkl
ss_mimiciii_b1_r1377_xgb-d1-o20-cols1,ebm-bf-o50-q,4,5,1377,139.9980125427246,0.15,0.7802281657654672,0.3516984457847296,0.07398059582911379,0.9088471849865952,0.2625314831083717,0.8260299301761892,0.4342488048400378,0.06885168108633787,0.9135728113572812,0.24403200683042578,models/1108_ss/ss_mimiciii_b1_r1377_xgb-d1-o20-cols1_ebm-bf-o50_r1377_4_5.pkl
ss_mimiciii_b1_r1377_xgb-d1-o20-cols1,ilr-q,4,5,1377,17.84301733970642,0.15,0.7383910998777684,0.2858706826196279,0.07844593185625442,0.9054350475262003,0.27879697583844876,0.871391156046928,0.527478548801651,0.06911050270964575,0.9065175306517531,0.24098985971820583,models/1108_ss/ss_mimiciii_b1_r1377_xgb-d1-o20-cols1_ilr-q_r1377_4_5.pkl
ss_mimiciii_b1_r1377_xgb-d1-o20-cols1,mlr-q,4,5,1377,10.011899471282959,0.15,0.7471979945720857,0.28669144626753057,0.08125525831645329,0.900804289544236,0.2939277337703754,0.8876501463487673,0.5711395183361532,0.058412196260657155,0.9247580124758012,0.204362265624283,models/1108_ss/ss_mimiciii_b1_r1377_xgb-d1-o20-cols1_mlr-q_r1377_4_5.pkl
