d_name,model_name,split_idx,n_splits,random_state,fit_time,test_size,bias,variance,error_test_mse,avg_test_auc,avg_test_aupr,avg_test_acc,avg_test_logloss,n_subsamples,subsample_ratio
heart,lr,2,5,1377,2.0949141979217534,0.15,0.16573578484241522,0.008015693160092121,0.17375147800250734,0.8304476351351351,0.8022962320206215,0.7463768115942029,0.5467792471695774,8,0.5
heart,mlr,2,5,1377,3.6107115745544434,0.15,0.20117471953827756,0.07709324309011173,0.2782679626283893,0.6984797297297298,0.6481346579974688,0.6557971014492754,1.2342485038783155,8,0.5
heart,spline-v2,2,5,1377,133.67927956581116,0.15,0.17669949526102535,0.0006719995794457812,0.17737149484047116,0.8224239864864865,0.8004123575560451,0.7119565217391305,0.5306881622686512,8,0.5
heart,xgb-d1-o20-cv,2,5,1377,86.5335624217987,0.15,0.1737609619855178,0.008741303450541837,0.18250226543605966,0.8137668918918919,0.7753930132446689,0.7536231884057971,0.5693824031748808,8,0.5
heart,xgb-d3,2,5,1377,4.045989036560059,0.15,0.17648006344309428,0.013626148999999999,0.19010621091081284,0.7982474662162162,0.7655252568449921,0.7173913043478259,0.5734642927131643,8,0.5
heart,xgb-d3-o20,2,5,1377,54.42759919166565,0.15,0.18086544590659656,0.011889831104314129,0.1927552770109107,0.8090160472972973,0.7705451907856214,0.7427536231884058,0.6229081600887789,8,0.5
heart,ebm-h-bf-o50,3,5,1377,4.521007537841797,0.15,0.2059247444171069,0.005400551670508071,0.21132529608761494,0.7466216216216216,0.6927881154967264,0.681159420289855,0.6240465044896952,8,0.5
heart,ebm-h-o50-i50,3,5,1377,8.022756576538086,0.15,0.20070771468447055,0.005036790586253418,0.205744505270724,0.7567567567567567,0.7081244869281467,0.7119565217391304,0.6267651651569233,8,0.5
heart,flam,3,5,1377,20.156699180603027,0.15,0.19306768006897368,0.010770372834529921,0.20383805290350365,0.7607685810810809,0.7109758334052588,0.7065217391304348,0.6207574236971414,8,0.5
heart,ilr,3,5,1377,4.112305641174316,0.15,0.1925078847489521,0.008640518358041947,0.20114840310699408,0.7696368243243243,0.7157947630199664,0.7210144927536233,0.5979310937332345,8,0.5
heart,lr,3,5,1377,2.477497100830078,0.15,0.18206834092706028,0.009254848858910076,0.19132318978597035,0.788745777027027,0.7344492355636825,0.7355072463768115,0.5881641518136493,8,0.5
heart,mlr,3,5,1377,4.663566112518311,0.15,0.23618554320199425,0.034844495381289746,0.271030038583284,0.6588893581081081,0.6181727075730097,0.6105072463768115,0.8509916776988695,8,0.5
heart,spline-v2,3,5,1377,133.64271068572998,0.15,0.18935552302325032,0.0006085373832245329,0.18996406040647487,0.7841005067567568,0.7413005367945187,0.7427536231884058,0.5681024476170456,8,0.5
heart,xgb-d1-o20-cv,3,5,1377,86.99013376235962,0.15,0.20133231716597894,0.010134209484815814,0.2114665266507948,0.7615076013513513,0.7163461104511613,0.7155797101449275,0.6809908275765071,8,0.5
heart,xgb-d3,3,5,1377,4.147973537445068,0.15,0.1926733127246969,0.012317686999999999,0.2049910000106132,0.7677364864864864,0.7392637191906823,0.7101449275362319,0.6083046766537903,8,0.5
heart,xgb-d3-o20,3,5,1377,50.20252799987793,0.15,0.20470046411504533,0.013897423390363848,0.2185978875054092,0.7798775337837838,0.7646023587353635,0.7065217391304348,0.7174706160878055,8,0.5
heart,ebm-h-bf-o50,4,5,1377,3.9228239059448238,0.15,0.135031182394753,0.004602338100651594,0.13963352049540456,0.9160684121621622,0.8973565057630566,0.8351449275362319,0.450563001046633,8,0.5
heart,ebm-h-o50-i50,4,5,1377,7.843579530715942,0.15,0.12513532611270425,0.0044667094887302,0.12960203560143446,0.9098395270270272,0.8666023863725221,0.8369565217391305,0.41875941302106,8,0.5
heart,flam,4,5,1377,20.04677414894104,0.15,0.11803421014667248,0.006352286052178023,0.12438649619885052,0.9222972972972974,0.9107661581317265,0.8478260869565217,0.4101064822273243,8,0.5
heart,ilr,4,5,1377,3.177440643310547,0.15,0.13346920620394792,0.00554742267735331,0.13901662888130126,0.9282094594594594,0.9093527118435614,0.8460144927536232,0.4467882897054888,8,0.5
heart,lr,4,5,1377,1.792982816696167,0.15,0.11494554188231525,0.009888858271413021,0.12483440015372825,0.9220861486486488,0.9185831703201356,0.8496376811594203,0.4078668798665573,8,0.5
heart,mlr,4,5,1377,3.319132089614868,0.15,0.2278391183928483,0.06478057431631261,0.2926196927091609,0.6922508445945946,0.65948280612946,0.5869565217391305,0.9932916662427198,8,0.5
heart,spline-v2,4,5,1377,118.45043897628784,0.15,0.12735519582057214,0.0006360756125035222,0.1279912714330757,0.9310599662162162,0.919699779972212,0.8460144927536232,0.4239078454421391,8,0.5
heart,xgb-d1-o20-cv,4,5,1377,82.75631260871887,0.15,0.11122890834479483,0.009754982220860712,0.12098389056565552,0.9078336148648648,0.8747761842003707,0.8351449275362319,0.3925646935347305,8,0.5
heart,xgb-d3,4,5,1377,3.550364255905152,0.15,0.12157407248932944,0.012959191,0.1345332610291269,0.8959037162162162,0.8795217762355094,0.8170289855072463,0.42688182249422296,8,0.5
heart,xgb-d3-o20,4,5,1377,61.25703263282776,0.15,0.10826507949851293,0.013485732461327669,0.12175081195984055,0.902660472972973,0.8761505551504175,0.8315217391304348,0.3865601239089225,8,0.5
onlinenews,ebm-bf-o50,0,5,1377,43.05215215682984,0.15,121348.26450309285,112182.08866220783,233530.35316530065,0.0,0.0,0.0,0.0,8,0.5
onlinenews,ebm-o50-i50,0,5,1377,260.9900517463684,0.15,129852.41622058836,107943.47645099009,237795.89267157845,0.0,0.0,0.0,0.0,8,0.5
onlinenews,flam,0,5,1377,419.75645756721497,0.15,10.263392005389688,0.8917773294013208,11.155169334790974,0.0,0.0,0.0,0.0,8,0.5
onlinenews,ilr,0,5,1377,617.5612821578981,0.15,131056.92654090431,118485.14677746274,249542.0733183671,0.0,0.0,0.0,0.0,8,0.5
onlinenews,lr,0,5,1377,6.50321626663208,0.15,1907322.1532943903,23311.301579420302,1930633.4548738103,0.0,0.0,0.0,0.0,8,0.5
